"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14516814";"1";"2025-06-23 00:15:00.000";"11";"1"
"14516895";"1";"2025-06-23 09:00:00.000";"21";"1"
"14517137";"1";"2025-06-23 08:00:00.000";"28";"1"
"14596132";"1";"2025-06-23 02:00:00.000";"96";"1"
"14596593";"1";"2025-06-23 08:30:00.000";"83";"1"
"14615977";"1";"2025-06-22 16:15:00.000";"31";"1"
"14615977";"2";"2025-06-22 16:00:00.000";"35";"1"
"14620432";"1";"2025-06-22 21:00:00.000";"55";"1"
"14620432";"2";"2025-06-22 16:30:00.000";"40";"1"
"14622129";"1";"2025-06-23 08:45:00.000";"56";"1"
"14622129";"2";"2025-06-23 09:00:00.000";"49";"1"
"14624676";"1";"2025-06-23 00:30:00.000";"93";"1"
"14625142";"1";"2025-06-22 22:15:00.000";"70";"1"
"14625276";"1";"2025-06-23 08:30:00.000";"100";"1"
"14736428";"2";"2025-06-22 23:45:00.000";"43";"1"
"14738849";"1";"2025-06-22 19:00:00.000";"33";"1"
"14740869";"1";"2025-06-23 08:30:00.000";"50";"1"
"14741229";"1";"2025-06-23 06:30:00.000";"40";"1"
"14743066";"1";"2025-06-23 07:30:00.000";"34";"1"
"14743162";"1";"2025-06-23 05:00:00.000";"35";"1"
"14743222";"1";"2025-06-23 08:30:00.000";"60";"1"
"14743222";"2";"2025-06-23 08:15:00.000";"61";"1"
"14743327";"1";"2025-06-23 02:15:00.000";"80";"1"
"14743327";"2";"2025-06-23 02:15:00.000";"74";"1"
"14748942";"1";"2025-06-22 23:45:00.000";"21";"1"
"14750858";"1";"2025-06-22 09:45:00.000";"33";"1"
"14751179";"1";"2025-06-22 18:30:00.000";"47";"1"
"14751179";"2";"2025-06-22 19:00:00.000";"55";"1"
"14751527";"2";"2025-06-23 07:30:00.000";"22";"1"
"14751868";"1";"2025-06-22 12:15:00.000";"12";"1"
"14752355";"1";"2025-06-22 10:15:00.000";"32";"1"
"14752717";"1";"2025-06-22 17:00:00.000";"34";"1"
"14754462";"1";"2025-06-23 04:00:00.000";"29";"1"
"14754462";"2";"2025-06-22 20:00:00.000";"30";"1"
"14756023";"1";"2025-06-22 18:15:00.000";"57";"1"
"14756023";"2";"2025-06-23 00:30:00.000";"64";"1"
"14758713";"1";"2025-06-22 19:00:00.000";"18";"1"
"14758713";"2";"2025-06-22 18:15:00.000";"14";"1"
"14759097";"1";"2025-06-22 23:00:00.000";"52";"1"
"14759097";"2";"2025-06-23 08:30:00.000";"62";"1"
"14765766";"1";"2025-06-23 08:15:00.000";"103";"1"
"14766187";"1";"2025-06-23 07:45:00.000";"104";"1"
"14773230";"1";"2025-06-23 05:15:00.000";"16";"1"
